location,year,category,rank,query
United States,2012,Diets,4,Pink Method diet
United States,2012,Diets,5,Adriana Lima diet
United States,2012,Donations,1,Donate to Obama
United States,2012,Donations,2,Donate to Sandy
United States,2012,Donations,3,Donate to Romney
United States,2012,Donations,4,Donate to KONY
United States,2012,Donations,5,Donate to Karen Klein
United States,2012,Election Issues,1,Abortion
United States,2012,Election Issues,2,Gay Marriage
United States,2012,Election Issues,3,Immigration
United States,2012,Election Issues,4,Gas Prices
United States,2012,Election Issues,5,Social Security
United States,2012,Endangered Species,1,Braken Bat Cave Meshweaver
United States,2012,Endangered Species,2,Hooded Crane
United States,2012,Endangered Species,3,Falcated Duck
United States,2012,Endangered Species,4,Costa Rican Variable Harlequin Toad
United States,2012,Endangered Species,5,Gooty Tarantula
United States,2012,Events of 2012,1,Hurricane Sandy
United States,2012,Events of 2012,2,Presidential Election
United States,2012,Events of 2012,3,Super Bowl
United States,2012,Events of 2012,4,Olympics
United States,2012,Events of 2012,5,UEFA Euro 2012
United States,2012,Food Delivery,1,Burger King Delivery
United States,2012,Food Delivery,2,Pizza Delivery
United States,2012,Food Delivery,3,Nola Food Delivery
United States,2012,Food Delivery,4,Healthy Delivery Options
United States,2012,Food Delivery,5,Tomato Soup Delivery
United States,2012,Google Doodles of 2012,1,Soccer Doodle
United States,2012,Google Doodles of 2012,2,Moog Doodle
United States,2012,Google Doodles of 2012,3,Turing Doodle
United States,2012,Google Doodles of 2012,4,Halloween Doodle
United States,2012,Google Doodles of 2012,5,Nemo Doodle
United States,2012,Halloween Costumes,1,Katniss Everdeen costume
United States,2012,Halloween Costumes,2,Slender Man costume
United States,2012,Halloween Costumes,3,Bane costume
United States,2012,Halloween Costumes,4,Gangnam Style costume
United States,2012,Halloween Costumes,5,Hawkeye costume
United States,2012,Health Issues,1,Hemorrhoid
United States,2012,Health Issues,2,Gastroesophageal Reflux Disease
United States,2012,Health Issues,3,Sexually Transmitted Disease
United States,2012,Health Issues,4,Diaper Rash
United States,2012,Health Issues,5,Diarrhea
United States,2012,How to...,1,How to love
United States,2012,How to...,2,How to rock
United States,2012,How to...,3,How to vote
United States,2012,How to...,4,How to install
United States,2012,How to...,5,How to hate
United States,2012,Hybrid Card,1,Fisker Karma Hybrid
United States,2012,Hybrid Card,2,Camry Hybrid
United States,2012,Hybrid Card,3,Jetta Hybrid
United States,2012,Hybrid Card,4,BMW Hybrid
United States,2012,Hybrid Card,5,Ford Fusion Hybrid
United States,2012,Jewelry Brands,1,Michael Kors jewelry
United States,2012,Jewelry Brands,2,Lana Jewelry
United States,2012,Jewelry Brands,3,Scott Kay Bridal
United States,2012,Jewelry Brands,4,Henri Daussi
United States,2012,Jewelry Brands,5,Bergio
United States,2012,Mobile\\Tablet Apps,1,Temple Run
United States,2012,Mobile\\Tablet Apps,2,Instagram
United States,2012,Mobile\\Tablet Apps,3,Logo Quiz
United States,2012,Mobile\\Tablet Apps,4,Draw Something
United States,2012,Mobile\\Tablet Apps,5,Socialcam
United States,2012,Museums,1,Metropolitan Museum of Art
United States,2012,Museums,2,Philadelphia Museum of Art
United States,2012,Museums,3,National Gallery of Art
United States,2012,Museums,4,De Young Museum
United States,2012,Museums,5,Museum of Science Boston
United States,2012,News Sources,1,NBC News
United States,2012,News Sources,2,FiveThirtyEight Blog
United States,2012,News Sources,3,Chi Magazine
United States,2012,News Sources,4,ESPN
United States,2012,News Sources,5,TMZ
United States,2012,NFL Teams,1,Dallas Cowboys
United States,2012,NFL Teams,2,Chicago Bears
United States,2012,NFL Teams,3,Denver Broncos
United States,2012,NFL Teams,4,Green Bay Packers
United States,2012,NFL Teams,5,Miami Dolphins
United States,2012,People,1,Whitney Houston
United States,2012,People,2,Jeremy Lin
United States,2012,People,3,Amanda Todd
United States,2012,People,4,Michael Clark Duncan
United States,2012,People,5,Kate Middleton
United States,2012,Phones,1,iPhone 5
United States,2012,Phones,2,iPhone 4s
United States,2012,Phones,3,Samsung Galaxy S3
United States,2012,Phones,4,Galaxy Note
United States,2012,Phones,5,Galaxy Note 2
United States,2012,Political Gaffes,1,Big Bird
United States,2012,Political Gaffes,2,47 percent
United States,2012,Political Gaffes,3,Binders full of women
United States,2012,Political Gaffes,4,Airplane Windows
United States,2012,Political Gaffes,5,Legitimate Rape
United States,2012,Reality TV Stars,1,"Alana ""Honey Boo Boo"""
United States,2012,Reality TV Stars,2,Snooki
United States,2012,Reality TV Stars,3,Farrah Abraham
United States,2012,Reality TV Stars,4,Kim Kardashian
United States,2012,Reality TV Stars,5,Brittany Kerr
United States,2012,Recipes,1,Progresso Recipe Starters
United States,2012,Recipes,2,Tzatziki Sauce Recipe
United States,2012,Recipes,3,Chicken Cacciatore Recipe
United States,2012,Recipes,4,Coleslaw Dressing Recipe
United States,2012,Recipes,5,Slutty Brownies Recipe
United States,2012,Searches,1,Whitney Houston
United States,2012,Searches,2,Hurricane Sandy
United States,2012,Searches,3,Election 2012
United States,2012,Searches,4,Hunger Games
United States,2012,Searches,5,Jeremy Lin
United States,2012,Shoe Brands,1,Nike
United States,2012,Shoe Brands,2,Toms
United States,2012,Shoe Brands,3,Sperry
United States,2012,Shoe Brands,4,Chanel shoes
United States,2012,Shoe Brands,5,Vans
United States,2012,Song Lyric Searches,1,Gangnam Style Lyrics
United States,2012,Song Lyric Searches,2,Mercy Lyrics
United States,2012,Song Lyric Searches,3,Payphone Lyrics
United States,2012,Song Lyric Searches,4,Some Nights Lyrics
United States,2012,Song Lyric Searches,5,Super Bass Lyrics
United States,2012,Stocks,1,Facebook Stock
United States,2012,Stocks,2,Zynga Stock
United States,2012,Stocks,3,Yelp Stock
United States,2012,Stocks,4,Samsung Stock
United States,2012,Stocks,5,Arna Stock
United States,2012,Symptoms,1,Pregnancy Symptoms
United States,2012,Symptoms,2,Diabetes Symptoms
United States,2012,Symptoms,3,Flu Symptoms
United States,2012,Symptoms,4,UTI Symptoms
United States,2012,Symptoms,5,Mono Symptoms
United States,2012,Tech Gadgets,1,iPad 3
United States,2012,Tech Gadgets,2,iPad Mini
United States,2012,Tech Gadgets,3,Samsung Galaxy S3
United States,2012,Tech Gadgets,4,Kindle Fire
United States,2012,Tech Gadgets,5,Nexus 7
United States,2012,Toys,1,Webcam Toy
United States,2012,Toys,2,Elmo Toy
United States,2012,Toys,3,Codee Toy
United States,2012,Toys,4,Derpy Hooves Toy
United States,2012,Toys,5,Bouncing Tigger Toy
United States,2012,TV Shows,1,Here Comes Honey Boo Boo
United States,2012,TV Shows,2,The Voice
United States,2012,TV Shows,3,American Idol
United States,2012,TV Shows,4,Big Brother 14
United States,2012,TV Shows,5,X Factor
United States,2012,US Politicians,1,Paul Ryan
United States,2012,US Politicians,2,Ron Paul
United States,2012,US Politicians,3,Barack Obama
United States,2012,US Politicians,4,Rick Santorum
United States,2012,US Politicians,5,Mitt Romney
United States,2012,Video Games,1,Diablo 3
United States,2012,Video Games,2,Borderlands 2
United States,2012,Video Games,3,Mass Effect 3
United States,2012,Video Games,4,Halo 4
United States,2012,Video Games,5,Skyrim
United States,2012,What is...?,1,What is SOPA
United States,2012,What is...?,2,What is Scientology
United States,2012,What is...?,3,What is KONY
United States,2012,What is...?,4,What is Yolo
United States,2012,What is...?,5,What is Instagram
Vietnam,2012,Bài hát,1,(Bài Hát) Mưa
Vietnam,2012,Bài hát,2,Happy Birthday
Vietnam,2012,Bài hát,3,Ngỡ
Vietnam,2012,Bài hát,4,Friday
Vietnam,2012,Bài hát,5,I Have Nothing
Vietnam,2012,Tìm kiếm,1,The Voice/Giong Hat Viet
Vietnam,2012,Tìm kiếm,2,Gangnam Style
Vietnam,2012,Tìm kiếm,3,Xem Phim Online
Vietnam,2012,Tìm kiếm,4,Congdonggame
Vietnam,2012,Tìm kiếm,5,Truyen Cuoi
Global,2013,Athletes,1,Oscar Pistorius
Global,2013,Athletes,2,Aaron Hernandez
Global,2013,Athletes,3,Adrian Peterson
Global,2013,Athletes,4,Kevin Ware
Global,2013,Athletes,5,Lance Armstrong
Global,2013,Consumer Electronics,1,iPhone 5s
Global,2013,Consumer Electronics,2,Samsung Galaxy S4
Global,2013,Consumer Electronics,3,PlayStation 4
Global,2013,Consumer Electronics,4,Xbox One
Global,2013,Consumer Electronics,5,Nexus 5
Global,2013,Events,1,Boston Marathon
Global,2013,Events,2,Typhoon Haiyan
Global,2013,Events,3,Government Shutdown
Global,2013,Events,4,2014 FIFA World Cup
Global,2013,Events,5,Chinese New Year
Global,2013,Google+ Hashtags,1,#Boston
Global,2013,Google+ Hashtags,2,#BreakingBad
Global,2013,Google+ Hashtags,3,#TyphoonHaiyan
Global,2013,Google+ Hashtags,4,#MileyCryus
Global,2013,Google+ Hashtags,5,#Pope
Global,2013,Movies,1,Man of Steel
Global,2013,Movies,2,Iron Man 3
Global,2013,Movies,3,World War Z
Global,2013,Movies,4,Django Unchained
Global,2013,Movies,5,Despicable Me 2
Global,2013,People,1,Nelson Mandela
Global,2013,People,2,Paul Walker
Global,2013,People,3,Malala Yousafzai
Global,2013,People,4,James Gandolfini
Global,2013,People,5,Miley Cyrus
Global,2013,Performing Artists,1,Cory Monteith
Global,2013,Performing Artists,2,Amanda Bynes
Global,2013,Performing Artists,3,James Gandolfini
Global,2013,Performing Artists,4,Charlie Hunnam
Global,2013,Performing Artists,5,Robin Thicke
Global,2013,Top Trending,1,Nelson Mandela
Global,2013,Top Trending,2,Paul Walker
Global,2013,Top Trending,3,iPhone 5s
Global,2013,Top Trending,4,Cory Monteith
Global,2013,Top Trending,5,Harlem Shake
Global,2013,TV Shows,1,Under The Dome
Global,2013,TV Shows,2,Defiance
Global,2013,TV Shows,3,Big Brother 15
Global,2013,TV Shows,4,Agents of S.H.I.E.L.D.
Global,2013,TV Shows,5,Here Comes Honey Boo Boo
Global,2013,YouTube Videos,1,Ylvis - The Fox (What Does the Fox Say?)
Global,2013,YouTube Videos,2,Harlem Shake (Original Army Edition)
Global,2013,YouTube Videos,3,How Animals Eat Their Food | MisterEpicMann
Global,2013,YouTube Videos,4,Baby&Me / The New Evian Film
Global,2013,YouTube Videos,5,Miley Cyrus - Wrecking Ball (Chatroulette Version)
Argentina,2013,Acontecimientos,1,Elecciones 2013
Argentina,2013,Acontecimientos,2,Meteorito en Rusia
Argentina,2013,Acontecimientos,3,Cosquín Rock 2013
Argentina,2013,Acontecimientos,4,Tomorrowland 2013
Argentina,2013,Acontecimientos,5,Volcán Copahue
Argentina,2013,Bandas y músicos,1,Agapornis
Argentina,2013,Bandas y músicos,2,Nene Malo
Argentina,2013,Bandas y músicos,3,Karina la Princesita
Argentina,2013,Bandas y músicos,4,Manolo Galván
Argentina,2013,Bandas y músicos,5,Bridgit Mendler
Argentina,2013,Búsquedas,1,Padrón electoral
Argentina,2013,Búsquedas,2,Aliados
Argentina,2013,Búsquedas,3,Dólar blue
Argentina,2013,Búsquedas,4,Feriados 2013
Argentina,2013,Búsquedas,5,Cory Monteith
Argentina,2013,Canciones,1,El pollito pio
Argentina,2013,Canciones,2,Gangnam style
Argentina,2013,Canciones,3,Cumbia papal
Argentina,2013,Canciones,4,Limbo
Argentina,2013,Canciones,5,Wrecking ball
Argentina,2013,Cómo...,1,Cómo descargar Minecraft
Argentina,2013,Cómo...,2,Cómo son los niños
Argentina,2013,Cómo...,3,Cómo votar
Argentina,2013,Cómo...,4,Cómo desbloquear netbook
Argentina,2013,Cómo...,5,Cómo salió Independiente
Argentina,2013,Deportistas,1,Maravilla Martínez
Argentina,2013,Deportistas,2,Oscar Pistorius
Argentina,2013,Deportistas,3,Gareth Bale
Argentina,2013,Deportistas,4,Camila Giorgi
Argentina,2013,Deportistas,5,Ribair Rodríguez
Argentina,2013,Eventos deportivos,1,Dakar 2013
Argentina,2013,Eventos deportivos,2,Copa Libertadores
Argentina,2013,Eventos deportivos,3,Copa Confederaciones
Argentina,2013,Eventos deportivos,4,Wimbledon 2013
Argentina,2013,Eventos deportivos,5,Argentina - Colombia
Argentina,2013,Películas,1,Mi Villano Favorito
Argentina,2013,Películas,2,Monsters University
Argentina,2013,Películas,3,Iron Man 3
Argentina,2013,Películas,4,Guerra Mundial Z
Argentina,2013,Películas,5,Metegol
Argentina,2013,Personas,1,Cory Monteith
Argentina,2013,Personas,2,Ángeles Rawson
Argentina,2013,Personas,3,Jorge Bergoglio
Argentina,2013,Personas,4,Florencia Peña
Argentina,2013,Personas,5,Ricardo Fort
Argentina,2013,Programas de TV,1,Aliados
Argentina,2013,Programas de TV,2,Violetta
Argentina,2013,Programas de TV,3,Cumbia Ninja
Argentina,2013,Programas de TV,4,Farsantes
Argentina,2013,Programas de TV,5,The Walking Dead
Argentina,2013,Tecnología,1,Playstation 4
Argentina,2013,Tecnología,2,Nokia Asha 311
Argentina,2013,Tecnología,3,Nokia Lumia 620
Argentina,2013,Tecnología,4,Samsung Galaxy S4
Argentina,2013,Tecnología,5,Samsung Galaxy Fame
Argentina,2013,¿Qué es...?,1,Qué es Line
Argentina,2013,¿Qué es...?,2,Qué es jesuita
Argentina,2013,¿Qué es...?,3,Qué es stalkear
Argentina,2013,¿Qué es...?,4,Qué es cafetal
Argentina,2013,¿Qué es...?,5,Qué es Alcatraz
Australia,2013,Celebrities,1,Paul Walker
Australia,2013,Celebrities,2,Cory Monteith
Australia,2013,Celebrities,3,Ricky Martin
Australia,2013,Celebrities,4,Amanda Bynes
Australia,2013,Celebrities,5,Rolf Harris
Australia,2013,Digital/Internet Lingo,1,Bitstrips
Australia,2013,Digital/Internet Lingo,2,Snapchat
Australia,2013,Digital/Internet Lingo,3,Bitcoin
Australia,2013,Digital/Internet Lingo,4,Vine
Australia,2013,Digital/Internet Lingo,5,Doge
Australia,2013,News Items of 2013,1,Boston Bombing
Australia,2013,News Items of 2013,2,North Korea News
Australia,2013,News Items of 2013,3,Royal Baby Name
Australia,2013,News Items of 2013,4,Typhoon Haiyan
Australia,2013,News Items of 2013,5,Costa Concordia
Australia,2013,Overall,1,Paul Walker
Australia,2013,Overall,2,Cory Monteith
Australia,2013,Overall,3,Royal Baby
Australia,2013,Overall,4,iPhone 5s
Australia,2013,Overall,5,North Korea
Australia,2013,People,1,Paul Walker
Australia,2013,People,2,Cory Monteith
Australia,2013,People,3,Nelson Mandela
Australia,2013,People,4,Tony Abbott
Australia,2013,People,5,Oscar Pistorius
Australia,2013,Politicians,1,Tony Abbott
Australia,2013,Politicians,2,Kevin Rudd
Australia,2013,Politicians,3,Clive Palmer
Australia,2013,Politicians,4,Sophie Mirabella
Australia,2013,Politicians,5,Fiona Scott
Australia,2013,Song Lyrics,1,Thrift Shop Lyrics
Australia,2013,Song Lyrics,2,Wrecking Ball Lyrics
Australia,2013,Song Lyrics,3,Blurred Lines Lyrics
Australia,2013,Song Lyrics,4,Royals Lyrics
Australia,2013,Song Lyrics,5,Same Love Lyrics
Australia,2013,Songs,1,Gangnam Style
Australia,2013,Songs,2,Blurred Lines
Australia,2013,Songs,3,Wrecking Ball
Australia,2013,Songs,4,Thrift Shop
Australia,2013,Songs,5,Roar
Australia,2013,TV Shows,1,The Block
Australia,2013,TV Shows,2,My Kitchen Rules
Australia,2013,TV Shows,3,House Rules
Australia,2013,TV Shows,4,Big Brother
Australia,2013,TV Shows,5,Offspring
Austria,2013,Blockbuster,1,Django Unchained
Austria,2013,Blockbuster,2,World War Z
Austria,2013,Blockbuster,3,Hangover 3
Austria,2013,Blockbuster,4,Feuchtgebiete
Austria,2013,Blockbuster,5,Rush
Austria,2013,Events & Ereignisse,1,Airpower
Austria,2013,Events & Ereignisse,2,WM Schladming
Austria,2013,Events & Ereignisse,3,Oscar
Austria,2013,Events & Ereignisse,4,Oktoberfest
Austria,2013,Events & Ereignisse,5,Champions League
Austria,2013,Gadgets & Technik,1,PlayStation 4
Austria,2013,Gadgets & Technik,2,Xbox One
Austria,2013,Gadgets & Technik,3,iPad 5
Austria,2013,Gadgets & Technik,4,iPad Air
Austria,2013,Gadgets & Technik,5,iPad Mini
Austria,2013,Promis,1,Helmut Berger
Austria,2013,Promis,2,Cathy Zimmermann
Austria,2013,Promis,3,Niki Lauda
Austria,2013,Promis,4,Christoph Waltz
Austria,2013,Promis,5,Brigitte Neumeister
Austria,2013,"Skandale, Pleiten & Aufreger",1,Costa Concordia
Austria,2013,"Skandale, Pleiten & Aufreger",2,Alpine Bau
Austria,2013,"Skandale, Pleiten & Aufreger",3,Edward Snowden
Austria,2013,"Skandale, Pleiten & Aufreger",4,Reeva Steenkamp
Austria,2013,"Skandale, Pleiten & Aufreger",5,Shades of Grey
Austria,2013,Top-Trends des Jahres,1,Paul Walker
Austria,2013,Top-Trends des Jahres,2,iPhone 5S
Austria,2013,Top-Trends des Jahres,3,Donauinselfest
Austria,2013,Top-Trends des Jahres,4,Neos
Austria,2013,Top-Trends des Jahres,5,iOS 7
Bangladesh,2013,People,1,Paul Walker
Bangladesh,2013,People,2,Jiah Khan
Bangladesh,2013,People,3,Nelson Mandela
Bangladesh,2013,People,4,Mita Noor
Bangladesh,2013,People,5,Shradda Kapoor
Bangladesh,2013,Trending Searches,1,Ssc result 2013
Bangladesh,2013,Trending Searches,2,Hsc result 2013
Bangladesh,2013,Trending Searches,3,Fb
Bangladesh,2013,Trending Searches,4,Bikroy
Bangladesh,2013,Trending Searches,5,Chennai express
Belgium,2013,Belgians ,1,Stromae
Belgium,2013,Belgians ,2,Lisa Smolders
Belgium,2013,Belgians ,3,Els Uytterhoeven
Belgium,2013,Belgians ,4,Wilfried Martens
Belgium,2013,Belgians ,5,Patrick de Witte
Belgium,2013,Fastest Rising People International,1,Paul Walker
Belgium,2013,Fastest Rising People International,2,Kate Middleton
Belgium,2013,Fastest Rising People International,3,Nelson Mandela
Belgium,2013,Fastest Rising People International,4,Stromae
Belgium,2013,Fastest Rising People International,5,Cory Monteith
Belgium,2013,Trending Searches,1,BELFIUS
Belgium,2013,Trending Searches,2,OUTLOOK
Belgium,2013,Trending Searches,3,ZALANDO
Belgium,2013,Trending Searches,4,PAUL WALKER
Belgium,2013,Trending Searches,5,SECRET STORY 7
Brazil,2013,Automobilístico,1,HB20
Brazil,2013,Automobilístico,2,Novo Prisma
Brazil,2013,Automobilístico,3,Onix
Brazil,2013,Automobilístico,4,Novo Golf
Brazil,2013,Automobilístico,5,Novo Fusca
Brazil,2013,Educação,1,Enem 2013
Brazil,2013,Educação,2,Pronatec
Brazil,2013,Educação,3,Sisu 2013
Brazil,2013,Educação,4,Prouni 2013
Brazil,2013,Educação,5,Fafipa
Brazil,2013,Entretenimento Multitelas,1,BBB 13
Brazil,2013,Entretenimento Multitelas,2,A Fazenda
Brazil,2013,Entretenimento Multitelas,3,Porta dos Fundos
Brazil,2013,Entretenimento Multitelas,4,Revenge
Brazil,2013,Entretenimento Multitelas,5,Shingeki no Kyojin
Brazil,2013,Esportes,1,Copa das Confederações
Brazil,2013,Esportes,2,Libertadores 2013
Brazil,2013,Esportes,3,Campeonato Brasileiro 2013
Brazil,2013,Esportes,4,Diego Cavalieri
Brazil,2013,Esportes,5,UFC
Brazil,2013,Famosos,1,MC Daleste
Brazil,2013,Famosos,2,Chorão
Brazil,2013,Famosos,3,Cory Monteith
Brazil,2013,Famosos,4,Anitta
Brazil,2013,Famosos,5,Nanda Costa
Brazil,2013,Filmes,1,Meu Malvado Favorito
Brazil,2013,Filmes,2,Guerra Mundial Z
Brazil,2013,Filmes,3,Detona Ralph
Brazil,2013,Filmes,4,V de Vingança
Brazil,2013,Filmes,5,Elysium
Brazil,2013,Gadgets,1,iPhone 5s
Brazil,2013,Gadgets,2,Samsung Galaxy S4
Brazil,2013,Gadgets,3,PS4
Brazil,2013,Gadgets,4,Samsung Galaxy S3
Brazil,2013,Gadgets,5,Xbox One
Brazil,2013,Games,1,POU
Brazil,2013,Games,2,MiniMundos
Brazil,2013,Games,3,GTA 5
Brazil,2013,Games,4,Yepi
Brazil,2013,Games,5,Zerg Rush
Brazil,2013,Momentos,1,Rock in Rio
Brazil,2013,Momentos,2,Carnaval 2013
Brazil,2013,Momentos,3,Tragédia de Santa Maria
Brazil,2013,Momentos,4,Escolha do Novo Papa
Brazil,2013,Momentos,5,Oscar 2013
Brazil,2013,Músicas,1,Harlem Shake
Brazil,2013,Músicas,2,Show das Poderosas
Brazil,2013,Músicas,3,Quadradinho de 8
Brazil,2013,Músicas,4,Gangnam Style
Brazil,2013,Músicas,5,Girl On Fire
Brazil,2013,Novelas,1,Salve Jorge
Brazil,2013,Novelas,2,Amor à Vida
Brazil,2013,Novelas,3,Carrossel
Brazil,2013,Novelas,4,Sangue Bom
Brazil,2013,Novelas,5,Chiquititas
Brazil,2013,Poder,1,PEC 37
Brazil,2013,Poder,2,Marco Feliciano
Brazil,2013,Poder,3,Hugo Chávez
Brazil,2013,Poder,4,PEC 33
Brazil,2013,Poder,5,Cura Gay
Brazil,2013,Seu Bolso,1,IPVA 2013
Brazil,2013,Seu Bolso,2,PIS 2013
Brazil,2013,Seu Bolso,3,Alelo
Brazil,2013,Seu Bolso,4,Salário Mínimo 2013
Brazil,2013,Seu Bolso,5,IRPF 2013
Brazil,2013,Top 10,1,BBB 13
Brazil,2013,Top 10,2,Telexfree
Brazil,2013,Top 10,3,Salve Jorge
Brazil,2013,Top 10,4,Enem 2013
Brazil,2013,Top 10,5,MC Daleste
Bulgaria,2013,Думи,1,Oгледален свят
Bulgaria,2013,Думи,2,Paul Walker
Bulgaria,2013,Думи,3,Gangnam style
Bulgaria,2013,Думи,4,Гласът на България
Bulgaria,2013,Думи,5,Къртицата
Bulgaria,2013,Популярни търсения - диети,1,90 дневна диета
Bulgaria,2013,Популярни търсения - диети,2,Лунна диета
Bulgaria,2013,Популярни търсения - диети,3,Японска диета
Bulgaria,2013,Популярни търсения - диети,4,Точкова диета
Bulgaria,2013,Популярни търсения - диети,5,Диета японско чудо
Bulgaria,2013,Популярни търсения - Как да...,1,Как да отслабна
Bulgaria,2013,Популярни търсения - Как да...,2,Как да забременея
Bulgaria,2013,Популярни търсения - Как да...,3,Как да нарисуваме
Bulgaria,2013,Популярни търсения - Как да...,4,Как да напълнея
Bulgaria,2013,Популярни търсения - Как да...,5,Как да инсталирам
Bulgaria,2013,Популярни търсения - Какво е...,1,Какво е любовта
Bulgaria,2013,Популярни търсения - Какво е...,2,Какво е ерп
Bulgaria,2013,Популярни търсения - Какво е...,3,Какво е таблет
Bulgaria,2013,Популярни търсения - Какво е...,4,Какво е смартфон
Bulgaria,2013,Популярни търсения - Какво е...,5,Какво е андроид
Bulgaria,2013,Популярни търсения - песни,1,Gangnam style
Bulgaria,2013,Популярни търсения - песни,2,Harlem shake
Bulgaria,2013,Популярни търсения - песни,3,Azis evala
Bulgaria,2013,Популярни търсения - песни,4,Tranquila
Bulgaria,2013,Популярни търсения - песни,5,Boracay
Bulgaria,2013,Популярни търсения - почивка в...,1,почивка в гърция
Bulgaria,2013,Популярни търсения - почивка в...,2,почивка в турция
Bulgaria,2013,Популярни търсения - почивка в...,3,почивка в китен
Bulgaria,2013,Популярни търсения - почивка в...,4,почивка в трявна
Bulgaria,2013,Популярни търсения - почивка в...,5,почивка в созопол
Bulgaria,2013,Популярни търсения - рецепти,1,Pецепта за кекс
Bulgaria,2013,Популярни търсения - рецепти,2,палачинки рецепта
Bulgaria,2013,Популярни търсения - рецепти,3,Рецепта за мъфини
Bulgaria,2013,Популярни търсения - рецепти,4,Мусака рецепта
Bulgaria,2013,Популярни търсения - рецепти,5,Леща рецепта
Bulgaria,2013,Популярни търсения - събития,1,избори 2013
Bulgaria,2013,Популярни търсения - събития,2,мис българия 2013
Bulgaria,2013,Популярни търсения - събития,3,земетресение
Bulgaria,2013,Популярни търсения - събития,4,цифровизация
Bulgaria,2013,Популярни търсения - събития,5,почивни дни 2013
Bulgaria,2013,Популярни търсения - ТВ предавания,1,Огледален свят
Bulgaria,2013,Популярни търсения - ТВ предавания,2,Къртицата
Bulgaria,2013,Популярни търсения - ТВ предавания,3,Гласът на България
Bulgaria,2013,Популярни търсения - ТВ предавания,4,VIP Brother 2013
Bulgaria,2013,Популярни търсения - ТВ предавания,5,X Factor
Bulgaria,2013,Хора,1,Paul Walker
Bulgaria,2013,Хора,2,Чочо Попйорданов
Bulgaria,2013,Хора,3,Делян Пеевски
Bulgaria,2013,Хора,4,Bon Jovi
Bulgaria,2013,Хора,5,Grigor Dimitrov
Canada,2013,Athletes,1,Tiger Woods
Canada,2013,Athletes,2,Oscar Pistorius
Canada,2013,Athletes,3,Aaron Hernandez
Canada,2013,Athletes,4,Lindsey Vonn
Canada,2013,Athletes,5,Jarome Iginla
Canada,2013,Canadian Sports Teams,1,Toronto Maple Leafs
Canada,2013,Canadian Sports Teams,2,Montreal Canadiens
Canada,2013,Canadian Sports Teams,3,Ottawa Senators
Canada,2013,Canadian Sports Teams,4,Edmonton Oilers
Canada,2013,Canadian Sports Teams,5,Calgary Flames
Canada,2013,Canadians,1,Rob Ford
Canada,2013,Canadians,2,Cory Monteith
Canada,2013,Canadians,3,Tim Bosma
Canada,2013,Canadians,4,Chris Hadfield
Canada,2013,Canadians,5,Rehtaeh Parsons
Canada,2013,Celebrities,1,Cory Monteith
Canada,2013,Celebrities,2,Paul Walker
Canada,2013,Celebrities,3,Amanda Bynes
Canada,2013,Celebrities,4,James Gandolfini
Canada,2013,Celebrities,5,Jennifer Lawrence
Canada,2013,Cocktails,1,Sourtoe
Canada,2013,Cocktails,2,Rusty Nail
Canada,2013,Cocktails,3,Cookie Monster
Canada,2013,Cocktails,4,Boulevardier
Canada,2013,Cocktails,5,Cassis
Canada,2013,Diet,1,Military Diet
Canada,2013,Diet,2,Fast Diet
Canada,2013,Diet,3,Virgin Diet
Canada,2013,Diet,4,Plan Diet
Canada,2013,Diet,5,Shred Diet
Canada,2013,How to...,1,How to twerk
Canada,2013,How to...,2,How to factor
Canada,2013,How to...,3,How to sleep
Canada,2013,How to...,4,How to sing
Canada,2013,How to...,5,How to sext
Canada,2013,Musicians,1,Robin Thicke
Canada,2013,Musicians,2,Miley Cyrus
Canada,2013,Musicians,3,Justin Timberlake
Canada,2013,Musicians,4,Lorde
Canada,2013,Musicians,5,Lou Reed
Canada,2013,Recipes,1,Spaghetti Squash
Canada,2013,Recipes,2,Lasagna
Canada,2013,Recipes,3,Hollandaise Sauce
Canada,2013,Recipes,4,Borscht soup
Canada,2013,Recipes,5,Hamburger
Canada,2013,Searches,1,Rob Ford
Canada,2013,Searches,2,Cory Monteith
Canada,2013,Searches,3,Paul Walker
Canada,2013,Searches,4,Tim Bosma
Canada,2013,Searches,5,Boston Marathon
Canada,2013,Technology,1,Outlook
Canada,2013,Technology,2,iPhone 5s
Canada,2013,Technology,3,BlackBerry 10
Canada,2013,Technology,4,GTA 5
Canada,2013,Technology,5,Nexus 5
Canada,2013,TV Shows,1,Breaking Bad
Canada,2013,TV Shows,2,Big Brother Canada
Canada,2013,TV Shows,3,Homeland
Canada,2013,TV Shows,4,Amazing Race Canada
Canada,2013,TV Shows,5,Duck Dynasty
Canada,2013,What is...,1,What is twerking
Canada,2013,What is...,2,What is fracking
Canada,2013,What is...,3,What is ricin
Canada,2013,What is...,4,What is bbm
Canada,2013,What is...,5,What is molly
Chile,2013,Tendencias de Búsqueda,1,Servel
Chile,2013,Tendencias de Búsqueda,2,Bono marzo 2013
Chile,2013,Tendencias de Búsqueda,3,Mundos Opuestos 2
Chile,2013,Tendencias de Búsqueda,4,Shingeki no kyojin
Chile,2013,Tendencias de Búsqueda,5,Cory Monteith
China,2013,为什么,1,为什么放弃治疗
China,2013,为什么,2,为什么会贫穷
China,2013,为什么,3,为什么会地震
China,2013,为什么,4,黄金为什么降价
China,2013,为什么,5,为什么有雷雨
China,2013,人物,1,彭丽媛
China,2013,人物,2,斯诺登
